flamie: 25.46 TrueSkill (mu 27.84, sigma 0.79), 2114 kills - 1829 deaths
veta: 25.46 TrueSkill (mu 28.47, sigma 1.00), 54 kills - 52 deaths
Edward: 25.45 TrueSkill (mu 27.82, sigma 0.79), 1754 kills - 1732 deaths
malle: 25.44 TrueSkill (mu 27.93, sigma 0.83), 220 kills - 212 deaths
TaZ: 25.40 TrueSkill (mu 27.77, sigma 0.79), 1460 kills - 1439 deaths
Vanilla: 25.39 TrueSkill (mu 29.14, sigma 1.25), 35 kills - 45 deaths
mCe: 25.35 TrueSkill (mu 29.65, sigma 1.43), 39 kills - 32 deaths
Reita: 25.35 TrueSkill (mu 28.29, sigma 0.98), 78 kills - 85 deaths
NBK-: 25.35 TrueSkill (mu 27.73, sigma 0.80), 2132 kills - 1985 deaths
Snax: 25.35 TrueSkill (mu 27.72, sigma 0.79), 1585 kills - 1513 deaths
MINISE: 25.34 TrueSkill (mu 27.91, sigma 0.86), 472 kills - 463 deaths
k0nfig: 25.34 TrueSkill (mu 27.75, sigma 0.80), 1148 kills - 1107 deaths
Keshandr: 25.34 TrueSkill (mu 27.72, sigma 0.79), 471 kills - 524 deaths
vSa : 25.30 TrueSkill (mu 28.62, sigma 1.11), 75 kills - 53 deaths
Davidp: 25.24 TrueSkill (mu 27.67, sigma 0.81), 217 kills - 245 deaths
LoWkii: 25.23 TrueSkill (mu 28.40, sigma 1.06), 101 kills - 82 deaths
roseau: 25.21 TrueSkill (mu 27.66, sigma 0.82), 466 kills - 405 deaths
seized: 25.20 TrueSkill (mu 27.59, sigma 0.80), 2040 kills - 1915 deaths
Dima: 25.18 TrueSkill (mu 27.54, sigma 0.79), 281 kills - 268 deaths
KRIMZ: 25.18 TrueSkill (mu 27.60, sigma 0.81), 2005 kills - 1719 deaths
suNny: 25.17 TrueSkill (mu 27.51, sigma 0.78), 758 kills - 721 deaths
hazed: 25.16 TrueSkill (mu 27.62, sigma 0.82), 1602 kills - 1629 deaths
kennyS: 25.16 TrueSkill (mu 27.54, sigma 0.80), 2014 kills - 1688 deaths
zape: 25.15 TrueSkill (mu 28.12, sigma 0.99), 116 kills - 93 deaths
Dosia: 25.15 TrueSkill (mu 27.60, sigma 0.82), 1095 kills - 966 deaths
nvrx: 25.15 TrueSkill (mu 28.39, sigma 1.08), 95 kills - 81 deaths
remkez: 25.14 TrueSkill (mu 28.86, sigma 1.24), 36 kills - 31 deaths
aka: 25.14 TrueSkill (mu 30.99, sigma 1.95), 34 kills - 26 deaths
RpK: 25.14 TrueSkill (mu 27.56, sigma 0.81), 1371 kills - 1518 deaths
x1: 25.14 TrueSkill (mu 28.00, sigma 0.95), 103 kills - 78 deaths
WHitE: 25.12 TrueSkill (mu 28.47, sigma 1.12), 95 kills - 74 deaths
hurr1cane: 25.11 TrueSkill (mu 28.57, sigma 1.15), 102 kills - 78 deaths
tabseN: 25.11 TrueSkill (mu 27.63, sigma 0.84), 663 kills - 673 deaths
nEVER: 25.10 TrueSkill (mu 27.82, sigma 0.90), 193 kills - 139 deaths
adreN: 25.09 TrueSkill (mu 27.51, sigma 0.81), 973 kills - 996 deaths
uuDEE: 25.09 TrueSkill (mu 28.09, sigma 1.00), 77 kills - 91 deaths
Kjaerbye: 25.09 TrueSkill (mu 27.49, sigma 0.80), 1579 kills - 1512 deaths
hk0n: 25.07 TrueSkill (mu 27.53, sigma 0.82), 222 kills - 255 deaths
kioShiMa: 25.06 TrueSkill (mu 27.45, sigma 0.80), 1793 kills - 1770 deaths
inov: 25.05 TrueSkill (mu 31.11, sigma 2.02), 11 kills - 18 deaths
tb: 25.04 TrueSkill (mu 27.59, sigma 0.85), 131 kills - 148 deaths
ZED: 25.02 TrueSkill (mu 28.02, sigma 1.00), 95 kills - 96 deaths
SPUNJ: 25.01 TrueSkill (mu 27.43, sigma 0.81), 563 kills - 633 deaths
SEMINTE: 24.99 TrueSkill (mu 28.13, sigma 1.05), 79 kills - 80 deaths
kaNibalistic: 24.99 TrueSkill (mu 27.80, sigma 0.94), 162 kills - 166 deaths
ssar: 24.98 TrueSkill (mu 28.08, sigma 1.03), 82 kills - 81 deaths
AidanWHO: 24.94 TrueSkill (mu 28.24, sigma 1.10), 89 kills - 85 deaths
fer: 24.91 TrueSkill (mu 27.31, sigma 0.80), 1451 kills - 1345 deaths
rezex: 24.91 TrueSkill (mu 27.39, sigma 0.83), 130 kills - 155 deaths
RUBINO: 24.90 TrueSkill (mu 27.30, sigma 0.80), 947 kills - 903 deaths
ScreaM: 24.90 TrueSkill (mu 27.33, sigma 0.81), 1928 kills - 1785 deaths
Smyli: 24.88 TrueSkill (mu 29.37, sigma 1.49), 44 kills - 41 deaths
SZPERO: 24.88 TrueSkill (mu 27.43, sigma 0.85), 1093 kills - 1037 deaths
Lekr0: 24.87 TrueSkill (mu 28.59, sigma 1.24), 62 kills - 51 deaths
SørenT: 24.87 TrueSkill (mu 29.30, sigma 1.48), 21 kills - 30 deaths
hutji: 24.86 TrueSkill (mu 27.37, sigma 0.84), 146 kills - 137 deaths
sAw: 24.86 TrueSkill (mu 27.22, sigma 0.79), 434 kills - 448 deaths
stanislaw: 24.85 TrueSkill (mu 27.27, sigma 0.81), 577 kills - 571 deaths
Zeus: 24.85 TrueSkill (mu 27.21, sigma 0.79), 1683 kills - 1761 deaths
s0ules: 24.83 TrueSkill (mu 29.22, sigma 1.46), 30 kills - 35 deaths
rmn: 24.83 TrueSkill (mu 27.87, sigma 1.01), 205 kills - 161 deaths
AM: 24.82 TrueSkill (mu 28.60, sigma 1.26), 48 kills - 48 deaths
xajdish: 24.82 TrueSkill (mu 27.40, sigma 0.86), 94 kills - 99 deaths
SasuKe: 24.81 TrueSkill (mu 27.41, sigma 0.87), 102 kills - 98 deaths
Happy: 24.81 TrueSkill (mu 27.20, sigma 0.80), 2390 kills - 2035 deaths
AlleNNN: 24.77 TrueSkill (mu 28.27, sigma 1.17), 104 kills - 82 deaths
impalement: 24.76 TrueSkill (mu 27.99, sigma 1.08), 63 kills - 79 deaths
ZELIN: 24.75 TrueSkill (mu 27.51, sigma 0.92), 250 kills - 203 deaths
phnien: 24.75 TrueSkill (mu 27.21, sigma 0.82), 183 kills - 227 deaths
Benkai: 24.73 TrueSkill (mu 27.27, sigma 0.84), 183 kills - 171 deaths
TACO: 24.73 TrueSkill (mu 27.16, sigma 0.81), 669 kills - 802 deaths
MUTiRiS: 24.73 TrueSkill (mu 27.69, sigma 0.99), 213 kills - 184 deaths
draken: 24.72 TrueSkill (mu 27.28, sigma 0.85), 337 kills - 294 deaths
Loveless: 24.69 TrueSkill (mu 27.20, sigma 0.84), 134 kills - 142 deaths
mizu: 24.67 TrueSkill (mu 28.05, sigma 1.13), 110 kills - 79 deaths
USTILO: 24.65 TrueSkill (mu 27.08, sigma 0.81), 318 kills - 330 deaths
mou: 24.65 TrueSkill (mu 27.07, sigma 0.81), 1156 kills - 989 deaths
krecker: 24.61 TrueSkill (mu 27.01, sigma 0.80), 271 kills - 256 deaths
r1d3r: 24.60 TrueSkill (mu 27.43, sigma 0.94), 73 kills - 81 deaths
feelix: 24.60 TrueSkill (mu 27.75, sigma 1.05), 82 kills - 76 deaths
MAESTRY: 24.60 TrueSkill (mu 27.50, sigma 0.97), 65 kills - 76 deaths
apEX: 24.58 TrueSkill (mu 26.98, sigma 0.80), 2300 kills - 2157 deaths
EliGE: 24.58 TrueSkill (mu 26.98, sigma 0.80), 1256 kills - 1194 deaths
FugLy: 24.55 TrueSkill (mu 27.00, sigma 0.81), 1477 kills - 1484 deaths
zerOchaNce: 24.54 TrueSkill (mu 27.56, sigma 1.01), 137 kills - 159 deaths
just9n: 24.53 TrueSkill (mu 26.97, sigma 0.81), 732 kills - 694 deaths
tenzki: 24.52 TrueSkill (mu 26.92, sigma 0.80), 541 kills - 585 deaths
NpK: 24.50 TrueSkill (mu 27.24, sigma 0.91), 84 kills - 104 deaths
